ID;vardas;Frakcija;naryste;Statusas
7;Dagy;1;1;1
22;Bogu;2;1;2
31;Dagy;3;1;2
43;Zing;3;1;2
45;Þiem;3;1;2
51;Ðiau;1;1;1
54;Vese;4;1;1
63;Peèe;3;1;2
80;Sala;1;1;1
94;Uoka;3;1;2
110;Jurð;1;1;1
114;Karo;1;1;1
117;Kirk;1;1;1
121;Kubi;3;1;2
125;Kuzm;3;1;2
149;Ðimë;3;1;2
155;Glav;5;1;2
178;Jukn;3;1;2
200;Klum;4;1;1
231;ÈSta;3;1;2
232;Sabu;3;1;2
265;Brad;1;1;1
7193;Olek;1;1;1
7194;Butk;1;1;1
7198;Kaðë;5;1;2
7199;Graþ;4;1;1
7206;Kupè;3;1;2
7207;Degu;3;1;2
7208;Aþub;3;1;2
7221;AnMa;3;1;2
7227;Vidþ;3;1;2
7229;Alek;3;1;2
7242;Razm;3;1;2
7252;Sysa;1;1;1
7259;Rutk;3;2;2
7260;Èapl;2;1;2
7326;Blin;1;2;1
7448;Ðedb;3;1;2
12253;JNar;4;2;1
16689;Beki;3;1;2
22590;Kazu;3;1;2
23310;MPet;1;1;1
23521;Saba;1;1;1
23526;Vësa;1;1;1
23547;VMaz;4;1;1
23552;Bara;4;2;1
23562;Meli;2;1;2
23671;Ðuky;2;1;2
23703;Dumè;3;1;2
23705;Toma;4;2;1
23775;Pauþ;1;1;1
24013;Luom;3;1;2
24021;Stun;3;1;2
24594;Budr;6;1;2
26333;Sink;1;1;1
26338;Nava;5;1;2
26418;Step;5;1;2
26656;Baðk;7;1;3
33749;Jank;3;1;2
34208;ViMa;3;1;2
34422;EMas;5;1;2
34428;Grub;5;1;2
34505;Þeim;3;1;2
34643;JJuo;1;1;1
36032;Marg;3;1;2
36392;Pupi;3;1;2
36693;Dumb;4;1;1
37063;Simu;7;2;3
38116;Bast;1;1;1
38796;Lies;2;1;2
38848;Miku;8;1;1
43842;Teið;5;1;2
44850;Jony;1;1;1
45771;Auðt;5;1;2
47158;Bace;3;1;2
47204;Uspa;8;2;1
47211;Lyde;2;1;2
47218;Rima;1;1;1
47220;Balè;1;2;1
47221;Baur;7;1;3
47225;Vare;3;1;2
47232;JPal;1;1;1
47811;KMas;3;1;2
47830;Smet;4;1;1
47832;Jagm;1;1;1
47836;Þaka;1;1;1
47837;Daut;3;1;2
47839;Star;3;1;2
47841;Galv;4;1;1
47842;Gedv;8;1;1
47844;Dauk;8;1;1
47845;Ramo;4;1;1
47849;Endz;5;1;2
47850;Buka;8;1;1
47852;Aèas;4;1;1
47856;Buce;8;1;1
47857;ArZu;2;1;2
47860;Èigr;3;1;2
47861;Pavi;1;2;1
47867;Grau;8;1;1
47875;OVal;4;1;1
47910;Vara;6;1;2
47932;Gapð;8;1;1
47959;Pins;8;2;1
47983;Zasè;8;1;1
48114;Balt;8;1;1
48690;Adom;3;1;2
50121;Ruèy;4;1;1
50482;Bilo;3;1;2
53899;Saud;3;1;2
53900;Jurk;3;1;2
53901;Ðedþ;1;1;1
53902;Stir;6;1;2
53903;Uþly;6;1;2
53904;JSta;6;1;2
53905;Gied;1;1;1
53906;Petk;4;1;1
53907;Valk;2;1;2
53908;Rame;7;1;3
53909;Mack;4;2;1
53910;Urba;3;1;2
53911;Nedz;6;1;2
53912;Kuod;5;1;2
53913;ETam;5;1;2
53914;Rama;3;1;2
53915;Song;3;1;2
53916;Anuð;3;1;2
53917;ASta;3;1;2
53918;Ðilg;2;1;2
53919;AVal;6;1;2
53920;Kara;6;1;2
53921;Kurp;6;1;2
53922;Babi;6;1;2
53923;Meiþ;6;1;2
53924;Dini;6;1;2
53925;Bauk;6;1;2
53926;Þili;6;1;2
53927;IVal;6;1;2
53929;Stom;6;1;2
53930;Kern;6;1;2
53931;Koms;4;1;1
53932;AMaz;4;1;1
54008;Sach;6;2;2
